show_id,tipo,título,director,año_lanzamiento,clasificación,duración
s117,Movie,Dhanak,Nagesh Kukunoor,2015,TV-PG,114 min
s118,Movie,Final Account,Luke Holland,2021,PG-13,94 min
s119,Movie,Gurgaon,Shanker Raman,2017,TV-14,106 min
s120,Movie,Here and There,JP Habac,2020,TV-MA,99 min
s121,TV Show,Heroes of Goo Jit Zu,,2021,TV-Y7,1 Season
s122,TV Show,Hotel Del Luna,,2019,TV-14,1 Season
s123,Movie,In the Cut,Jane Campion,2003,R,118 min
s124,TV Show,Luv Kushh,,2012,TV-Y7,1 Season
s125,TV Show,Pororo - The Little Penguin,,2013,TV-Y7,3 Seasons
s126,TV Show,Q-Force,,2021,TV-MA,1 Season
s127,Movie,Shikara,Vidhu Vinod Chopra,2020,TV-14,115 min
s128,Movie,A Cinderella Story,Mark Rosman,2004,PG,95 min
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,2017,PG-13,115 min
s130,Movie,An Unfinished Life,Lasse Hallström,2005,PG-13,108 min
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,2021,TV-Y,63 min
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,1982,R,117 min
s133,TV Show,Brave Animated Series,,2021,TV-MA,1 Season
s134,Movie,Chappie,Neill Blomkamp,2015,R,121 min
s135,Movie,Clear and Present Danger,Phillip Noyce,1994,PG-13,142 min
s136,Movie,Cliffhanger,Renny Harlin,1993,R,113 min
s137,Movie,Cold Mountain,Anthony Minghella,2003,R,154 min
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,2001,PG,95 min
s139,Movie,Dear John,Lasse Hallström,2010,PG-13,108 min
s140,Movie,Do the Right Thing,Spike Lee,1989,R,120 min
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,2014,TV-MA,100 min
s142,Movie,Extraction,Steven C. Miller,2015,R,82 min
s143,Movie,Freedom Writers,Richard LaGravenese,2007,PG-13,124 min
s144,Movie,Green Lantern,Martin Campbell,2011,PG-13,114 min
s145,Movie,House Party,Reginald Hudlin,1990,R,104 min
s146,Movie,House Party 2,"George Jackson, Doug McHenry",1991,R,94 min
s147,Movie,House Party 3,Eric Meza,1994,R,94 min
s148,TV Show,How to Be a Cowboy,,2021,TV-PG,1 Season
s149,TV Show,HQ Barbers,Gerhard Mostert,2020,TV-14,1 Season
s150,Movie,I Got the Hook Up,Michael Martin,1998,R,93 min
s151,Movie,In Too Deep,Michael Rymer,1999,R,97 min
s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak",2005,TV-14,109 min
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,2016,TV-MA,88 min
s154,TV Show,Kid-E-Cats,,2016,TV-Y,2 Seasons
s155,TV Show,Kuroko's Basketball,,2015,TV-MA,3 Seasons
s156,Movie,Labyrinth,Jim Henson,1986,PG,101 min
s157,Movie,Letters to Juliet,Gary Winick,2010,PG,105 min
s158,Movie,Level 16,Danishka Esterhazy,2018,TV-14,102 min
s159,Movie,Love Don't Cost a Thing,Troy Byer,2003,PG-13,101 min
s160,Movie,Love in a Puff,Pang Ho-cheung,2010,TV-MA,103 min
s161,TV Show,Major Dad,,1992,TV-PG,4 Seasons
s162,Movie,Mars Attacks!,Tim Burton,1996,PG-13,106 min
s163,Movie,Marshall,Reginald Hudlin,2017,PG-13,118 min
s164,Movie,My Boss's Daughter,David Zucker,2003,R,86 min
s165,Movie,Mystery Men,Kinka Usher,1999,PG-13,121 min
s166,TV Show,Oldsters,,2019,TV-MA,1 Season
s167,Movie,Once Upon a Time in America,Sergio Leone,1984,R,229 min
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",2008,PG,76 min
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",2001,PG,95 min
s170,Movie,Poseidon,Wolfgang Petersen,2006,PG-13,98 min
s171,Movie,Rhyme & Reason,Peter Spirer,1997,R,89 min
s172,Movie,Same Kind of Different as Me,Michael Carney,2017,PG-13,120 min
s173,Movie,School of Rock,Richard Linklater,2003,PG-13,110 min
s174,Movie,Snervous Tyler Oakley,Amy Rice,2015,PG-13,83 min
s175,Movie,Tears of the Sun,Antoine Fuqua,2003,R,121 min
s176,Movie,The Blue Lagoon,Randal Kleiser,1980,R,105 min
s177,Movie,The Golden Child,Michael Ritchie,1986,PG-13,94 min
s178,Movie,The Guns of Navarone,J. Lee Thompson,1961,TV-14,156 min
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen",2014,R,112 min
s180,Movie,The Nutty Professor,Tom Shadyac,1996,PG-13,95 min
s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,2000,PG-13,107 min
s182,TV Show,Turning Point: 9/11 and the War on Terror,,2021,TV-14,1 Season
s183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,2008,PG-13,114 min
s184,Movie,In the Line of Fire,Wolfgang Petersen,1993,R,129 min
s185,TV Show,Sparking Joy,,2021,TV-PG,1 Season
s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",2021,TV-MA,86 min
s187,TV Show,Hometown Cha-Cha-Cha,,2021,TV-14,1 Season
s188,TV Show,The Ingenuity of the Househusband,,2021,TV-G,1 Season
s189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",2008,TV-MA,97 min
s190,TV Show,Bread Barbershop,,2020,TV-Y,2 Seasons
s191,Movie,Thimmarusu,Sharan Koppisetty,2021,TV-14,125 min
s192,Movie,Wind River,Taylor Sheridan,2017,R,107 min
s193,Movie,C Kkompany,Sachin Yardi,2008,TV-14,127 min
s194,TV Show,D.P.,,2021,TV-MA,1 Season
s195,TV Show,Deadly Sins,,2002,TV-MA,1 Season
s196,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,2008,TV-14,128 min
s197,Movie,He's All That,Mark Waters,2021,TV-14,92 min
s198,TV Show,I Heart Arlo,,2021,TV-Y7,1 Season
s199,TV Show,King of Boys: The Return of the King,Kemi Adetiba,2021,TV-MA,1 Season
s200,Movie,Koi Aap Sa,Partho Mitra,2006,TV-14,135 min
s201,Movie,Krishna Cottage,Santram Varma,2004,TV-14,124 min
s202,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",2003,TV-14,136 min
s203,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,2005,TV-MA,165 min
s204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,2016,TV-MA,124 min
s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,2012,TV-MA,136 min
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,2001,TV-14,150 min
s207,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010,TV-MA,112 min
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,2008,TV-14,119 min
s209,Movie,Once Upon a Time in Mumbaai,Milan Luthria,2010,TV-14,133 min
s210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,2013,TV-14,142 min
s211,Movie,Ragini MMS,Pawan Kripalani,2011,TV-MA,93 min
s212,Movie,Ragini MMS 2,Bhushan Patel,2014,TV-MA,113 min
s213,TV Show,Rebellion,,2016,TV-MA,2 Seasons
s214,TV Show,RIDE ON TIME,,2021,TV-PG,3 Seasons
s215,Movie,SAS: Rise of the Black Swan,Magnus Martens,2021,R,124 min
s216,Movie,Shootout at Lokhandwala,Apoorva Lakhia,2007,TV-MA,116 min
s217,Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",2011,TV-14,106 min
s218,Movie,The Dirty Picture,Milan Luthria,2011,TV-14,145 min
s219,TV Show,Titletown High,,2021,TV-14,1 Season
s220,TV Show,EDENS ZERO,,2021,TV-14,1 Season
s221,TV Show,Family Reunion,,2021,TV-PG,4 Seasons
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,2021,TV-14,93 min
s223,TV Show,Clickbait,Brad Anderson,2021,TV-MA,1 Season
s224,TV Show,John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela",2021,TV-MA,1 Season
s225,TV Show,Motel Makeover,,2021,TV-14,1 Season
s226,TV Show,Open Your Eyes,,2021,TV-MA,1 Season
s227,TV Show,Post Mortem: No One Dies in Skarnes,,2021,TV-MA,1 Season
s228,Movie,Really Love,Angel Kristi Williams,2020,TV-MA,95 min
s229,Movie,The November Man,Roger Donaldson,2014,R,108 min
s230,Movie,The Old Ways,Christopher Alender,2020,TV-MA,90 min
s231,Movie,The River Runner,Rush Sturges,2021,TV-MA,86 min
s232,Movie,The Water Man,David Oyelowo,2021,PG,92 min
s233,TV Show,Wheel of Fortune,,2019,TV-G,3 Seasons
s234,Movie,Count Me In,Mark Lo,2021,TV-MA,82 min
s235,TV Show,Oggy Oggy,,2021,TV-Y,1 Season
s236,Movie,Untold: Caitlyn Jenner,Crystal Moselle,2021,TV-PG,70 min
s237,Movie,Boomika,Rathindran R Prasad,2021,TV-14,122 min
s238,Movie,Boomika (Hindi),Rathindran R Prasad,2021,TV-14,122 min
s239,Movie,Boomika (Malayalam),Rathindran R Prasad,2021,TV-14,122 min
s240,Movie,Boomika (Telugu),Rathindran R Prasad,2021,TV-14,122 min
s241,Movie,The Witcher: Nightmare of the Wolf,Han Kwang Il,2021,TV-MA,84 min
s242,TV Show,Manifest,,2021,TV-14,3 Seasons
s243,TV Show,Comedy Premium League,,2021,TV-MA,1 Season
s244,TV Show,Everything Will Be Fine,,2021,TV-MA,1 Season
s245,Movie,Gunshot,Karim El Shenawy,2018,TV-14,96 min
s246,TV Show,Korean Cold Noodle Rhapsody,,2021,TV-PG,1 Season
s247,Movie,Man in Love,Yin Chen-hao,2021,TV-MA,115 min
s248,Movie,Sweet Girl,Brian Andrew Mendoza,2021,R,110 min
s249,TV Show,The Chair,,2021,TV-MA,1 Season
s250,Movie,The Loud House Movie,Dave Needham,2021,TV-Y7,88 min
s251,Movie,A Faraway Land,Veronica Velasco,2020,TV-PG,102 min
s252,Movie,Like Crazy,Drake Doremus,2011,PG-13,91 min
s253,Movie,Black Island,Miguel Alexandre,2021,TV-MA,105 min
s254,Movie,Bombay,Mani Ratnam,1995,TV-14,135 min
s255,TV Show,Go! Go! Cory Carson,,2021,TV-Y,5 Seasons
s256,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,2021,TV-MA,86 min
s257,Movie,Nneka The Pretty Serpent,Tosin Igho,2020,TV-14,140 min
s258,Movie,O Kadhal Kanmani,Mani Ratnam,2015,TV-14,133 min
s259,Movie,Out of my league,Alice Filippi,2020,TV-MA,92 min
s260,Movie,Pahuna,Paakhi Tyrewala,2018,TV-PG,82 min
s261,TV Show,The Defeated,,2020,TV-MA,1 Season
s262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,2021,TV-14,97 min
s263,Movie,Untold: Deal With the Devil,Laura Brownson,2021,TV-MA,78 min
s264,TV Show,Mother Goose Club,,2016,TV-Y,2 Seasons
s265,Movie,Walk of Shame,Steve Brill,2014,R,94 min
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,,2018,TV-14,1 Season
s267,TV Show,The Creative Indians,,2020,TV-MA,1 Season
s268,Movie,The Piano,Jane Campion,1993,R,121 min
s269,Movie,Unroyal,Moses Inwang,2020,TV-MA,97 min
s270,TV Show,Winx Club,,2015,TV-Y7,2 Seasons
s271,Movie,Beckett,Ferdinando Cito Filomarino,2021,TV-MA,110 min
s272,TV Show,Brand New Cherry Flavor,,2021,TV-MA,1 Season
s273,TV Show,Fast & Furious Spy Racers,,2021,TV-Y7,5 Seasons
s274,TV Show,Gone for Good,Juan Carlos Medina,2021,TV-MA,1 Season
s275,TV Show,Grace and Frankie,,2021,TV-MA,7 Seasons
s276,TV Show,The Kingdom,,2021,TV-MA,1 Season
s277,TV Show,Valeria,Inma Torrente,2021,TV-MA,2 Seasons
s278,TV Show,AlRawabi School for Girls,,2021,TV-14,1 Season
s279,Movie,Lokillo: Nothing's the Same,Julián Gaviria,2021,TV-MA,64 min
s280,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,2021,TV-PG,59 min
s281,TV Show,Bake Squad,,2021,TV-PG,1 Season
s282,Movie,Brother Jekwu,Charles Uwagbai,2016,TV-14,101 min
s283,Movie,La diosa del asfalto,Julián Hernández,2020,TV-MA,127 min
s284,Movie,Misha and the Wolves,Sam Hobkinson,2021,PG-13,90 min
s285,Movie,The Kissing Booth 3,Vince Marcello,2021,TV-14,114 min
s286,Movie,The Railway Man,Jonathan Teplitzky,2013,R,108 min
s287,TV Show,Gabby's Dollhouse,,2021,TV-Y,2 Seasons
s288,TV Show,I Need Romance,Sakon Tiacharoen,2021,TV-14,1 Season
s289,TV Show,Las muñecas de la mafia,,2018,TV-MA,1 Season
s290,TV Show,The Crowned Clown,,2019,TV-14,1 Season
s291,Movie,Untold: Malice at the Palace,Floyd Russ,2021,TV-MA,70 min
s292,TV Show,SHAMAN KING,,2021,TV-14,1 Season
s293,Movie,Quartet,Dustin Hoffman,2012,PG-13,98 min
s294,Movie,Slay,Adze Ugah,2021,TV-MA,86 min
s295,Movie,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,2020,TV-PG,139 min
s296,Movie,The Paper Tigers,Quoc Bao Tran,2021,PG-13,111 min
s297,TV Show,Hit & Run,,2021,TV-MA,1 Season
s298,TV Show,Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon",2021,TV-MA,1 Season
s299,Movie,Quam's Money,Kayode Kasum,2020,TV-MA,115 min
s300,Movie,The Swarm,Just Philippot,2021,TV-14,102 min
s301,Movie,Vivo,"Kirk DeMicco, Brandon Jeffords",2021,PG,100 min
s302,Movie,Chennai Express,Rohit Shetty,2013,TV-14,135 min
s303,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",2013,TV-MA,69 min
s304,Movie,Esperando la carroza,Alejandro Doria,1985,TV-MA,95 min
s305,Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,2021,TV-14,97 min
s306,Movie,Tango Feroz,Marcelo Piñeyro,1993,TV-MA,124 min
s307,Movie,'76,Izu Ojukwu,2016,TV-PG,118 min
s308,Movie,Aftermath,Peter Winther,2021,TV-MA,115 min
s309,Movie,American Masters: Inventing David Geffen,Susan Lacy,2012,TV-MA,115 min
s310,TV Show,Car Masters: Rust to Riches,,2021,TV-PG,3 Seasons
s311,TV Show,Cocaine Cowboys: The Kings of Miami,Billy Corben,2021,TV-MA,1 Season
s312,TV Show,Control Z,,2021,TV-MA,2 Seasons
s313,TV Show,Cooking With Paris,,2021,TV-MA,1 Season
s314,TV Show,Autumn's Concerto,,2009,TV-14,1 Season
s315,Movie,Heavy,James Mangold,1995,R,104 min
s316,Movie,Ije: The Journey,Chineze Anyaene,2010,TV-MA,106 min
s317,TV Show,Office Girls,Hsu Fu-chun,2011,TV-14,1 Season
s318,Movie,Pray Away,Kristine Stolakis,2021,PG-13,102 min
s319,Movie,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",2021,TV-MA,97 min
s320,TV Show,The Prince Who Turns into a Frog,,2005,TV-14,1 Season
s321,TV Show,Top Secret UFO Projects: Declassified,,2021,TV-PG,1 Season
s322,TV Show,Two Fathers,,2013,TV-14,1 Season
s323,TV Show,You're My Destiny,,2008,TV-MA,1 Season
s324,TV Show,30 Rock,,2012,TV-14,7 Seasons
s325,TV Show,44 Cats,,2020,TV-Y7,3 Seasons
s326,Movie,Beethoven,Brian Levant,1992,PG,87 min
s327,Movie,Beethoven's 2nd,Rod Daniel,1993,PG,88 min
s328,Movie,Beowulf,Robert Zemeckis,2007,PG-13,114 min
s329,Movie,Boyka: Undisputed,Todor Chapkanov,2016,R,90 min
s330,Movie,Catch Me If You Can,Steven Spielberg,2002,PG-13,142 min
s331,Movie,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller",2009,PG,90 min
s332,TV Show,Darwin’s Game,,2020,TV-MA,1 Season
s333,Movie,Deep Blue Sea,Renny Harlin,1999,R,105 min
s334,Movie,Ferris Bueller's Day Off,John Hughes,1986,PG-13,103 min
s335,Movie,Five Feet Apart,Justin Baldoni,2019,PG-13,116 min
s336,Movie,Freedomland,Joe Roth,2006,R,113 min
s337,TV Show,Friday Night Lights,,2010,TV-14,5 Seasons
s338,Movie,Good Luck Chuck,Mark Helfrich,2007,R,99 min
s339,TV Show,Hunter X Hunter (2011),,2014,TV-14,6 Seasons
s340,Movie,I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen",2021,TV-14,96 min
s341,Movie,Inception,Christopher Nolan,2010,PG-13,148 min
s342,Movie,Magnolia,Paul Thomas Anderson,1999,R,189 min
s343,Movie,Major Payne,Nick Castle,1995,PG-13,97 min
s344,Movie,My Girl,Howard Zieff,1991,PG-13,102 min
s345,Movie,My Girl 2,Howard Zieff,1994,PG,99 min
s346,Movie,Open Season: Scared Silly,David Feiss,2015,PG,85 min
s347,Movie,Pineapple Express,David Gordon Green,2008,R,112 min
s348,Movie,Planet 51,Jorge Blanco,2009,PG,91 min
s349,Movie,Poms,Zara Hayes,2019,PG-13,91 min
s350,Movie,Seabiscuit,Gary Ross,2003,PG-13,141 min
s351,Movie,Space Cowboys,Clint Eastwood,2000,PG-13,130 min
s352,Movie,Team America: World Police,Trey Parker,2004,R,98 min
s353,Movie,The Edge of Seventeen,Kelly Fremon Craig,2016,R,105 min
s354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013,R,101 min
s355,Movie,The Last Boy Scout,Tony Scott,1991,R,105 min
s356,Movie,The Lincoln Lawyer,Brad Furman,2011,R,118 min
s357,Movie,The Losers,Sylvain White,2010,PG-13,97 min
s358,Movie,The Machinist,Brad Anderson,2004,R,102 min
s359,Movie,The Net,Irwin Winkler,1995,PG-13,114 min
s360,Movie,The Original Kings of Comedy,Spike Lee,2000,R,111 min
s361,Movie,Valentine's Day,Garry Marshall,2010,PG-13,125 min
s362,TV Show,Charmed,,2021,TV-14,3 Seasons
s363,Movie,The Lost Café,Kenneth Gyang,2018,TV-14,76 min
s364,Movie,The Vault,Jaume Balagueró,2021,R,118 min
s365,TV Show,Centaurworld,,2021,TV-Y7,1 Season
s366,Movie,Eyes of a Thief,Najwa Najjar,2014,TV-14,103 min
s367,TV Show,Glow Up,,2021,TV-14,3 Seasons
